,Gene,Upstream,Downstream
1210,SeEryAI_Mod.0,NA,NA
1211,SeEryAI_Mod.1,NA,mmal
1212,SeEryAI_Mod.2,mmal,mmal
1213,SeEryAII_Mod.1,mmal,mmal
1214,SeEryAII_Mod.2,mmal,mmal
1215,SeEryAIII_Mod.1,mmal,mmal
1216,SeEryAIII_Mod.2,mmal,mmal
968,selA_Mod.1,NA,mmal
969,selB_Mod.1,mmal,mmal
970,selB_Mod.2,mmal,mmal
971,selC_Mod.1,mmal,mal
972,selC_Mod.2,mal,mal
973,selC_Mod.3,mal,mal
974,selC_Mod.4,mal,mal
975,selI_Mod.1,mal,mal
976,selI_Mod.2,mal,mal
977,selI_Mod.3,mal,mmal
978,selI_Mod.4,mmal,mal
979,selI_Mod.5,mal,mal
980,selI_Mod.6,mal,mal
981,selJ_Mod.1,mal,mal
982,selK_Mod.1,mal,mal
955,sfaE_Mod.1,NA,mmal
956,sfaF_Mod.1,mmal,mmal
957,sfaF_Mod.2,mmal,mmal
958,sfaF_Mod.3,mmal,mal
959,sfaG_Mod.1,mal,mmal
960,sfaG_Mod.2,mmal,mal
961,sfaH_Mod.1,mal,mal
962,sfaH_Mod.2,mal,mmal
963,sfaH_Mod.3,mmal,mal
964,sfaH_Mod.4,mal,mal
965,sfaH_Mod.5,mal,mal
966,sfaI_Mod.1,mal,mmal
967,sfaI_Mod.2,mmal,NA
696,SgnS0_Mod.1,mal,NA
701,SgnS1_Mod.1,mal,mal
704,SgnS1_Mod.2,mal,mal
707,SgnS1_Mod.3,mal,mal
710,SgnS1_Mod.4,mal,mal
711,SgnS2_Mod.1,mal,mal
714,SgnS2_Mod.2,mal,mal
717,SgnS2_Mod.3,mmal,mmal
720,SgnS2_Mod.4,mal,mal
723,SgnS2_Mod.5,mal,mal
728,SgnS2_Mod.6,mal,mal
731,SgnS3_Mod.1,mal,mal
732,SgnS4_Mod.1,mal,mal
983,simC1A_Mod.1,NA,mal
984,simC1A_Mod.2,mal,mal
985,simC1A_Mod.3,mal,mal
986,simC1B_Mod.1,mal,mal
987,simC1C_Mod.1,mal,mal
1036,slgA1_Mod.1,NA,mal
1037,slgA1_Mod.2,mal,mmal
1038,slgA1_Mod.3,mmal,mal
1039,slgA1_Mod.4,mal,mmal
1040,slgA2_Mod.1,mmal,mmal
1041,slgA2_Mod.2,mmal,mmal
1042,slgA3_Mod.1,mmal,mal
1043,slgA3_Mod.2,mal,mal
929,sllA_Mod.1,NA,mal
930,sllA_Mod.2,mal,mal
931,sllA_Mod.3,mal,mmal
932,sllA_Mod.4,mmal,mal
933,sllB_Mod.5,mal,mal
934,sllB_Mod.6,mal,mal
935,sllC_Mod.7,mal,mal
936,sllC_Mod.8,mal,mal
937,sllD_Mod.9,mal,mmal
938,sllE_Mod.10,mmal,mal
939,sllE_Mod.11,mal,mal
940,slnA1_Mod.1,NA,mal
941,slnA1_Mod.2,mal,NA
942,slnA1_Mod.3,NA,mal
943,slnA2_Mod.1,mal,mmal
944,slnA2_Mod.2,mmal,mal
945,slnA3_Mod.1,mal,mal
946,slnA3_Mod.2,mal,mal
947,slnA4_Mod.1,mal,mmal
948,slnA5_Mod.1,mmal,mmal
949,slnA5_Mod.2,mmal,NA
950,slnA6_Mod.1,NA,mmal
951,slnA7_Mod.1,mmal,mmal
952,slnA8_Mod.1,mmal,mmal
953,slnA8_Mod.2,mmal,mal
954,slnA9_Mod.1,mal,NA
994,spnA_Mod.1,NA,mmal
995,spnA_Mod.2,mmal,mal
996,spnB_Mod.1,mal,mal
997,spnC_Mod.1,mal,mmal
998,spnC_Mod.2,mmal,mal
999,spnD_Mod.1,mal,mal
1000,spnD_Mod.2,mal,mal
1001,spnD_Mod.3,mal,mal
1002,spnE_Mod.1,mal,mmal
1003,spnE_Mod.2,mmal,mal
1004,spnE_Mod.3,mal,mal
1204,spr10_Mod.6,NA,mmal
1205,spr11_Mod.7,mmal,mal
1198,spr7_Mod.0,NA,mmal
1199,spr7_Mod.1,mmal,mmal
1200,spr7_Mod.2,mmal,mmal
1201,spr8_Mod.3,mmal,mal
1202,spr9_Mod.4,mal,mmal
1203,spr9_Mod.5,mmal,NA
1005,StamA_Mod.0,NA,mmal
1006,StamA_Mod.1,mmal,mal
1007,StamA_Mod.2,mal,mal
1008,StamA_Mod.3,mal,mal
1009,StamB_Mod.4,mal,mal
1010,StamB_Mod.5,mal,mmal
1015,StamC_Mod.10,mal,mal
1011,StamC_Mod.6,mmal,mal
1012,StamC_Mod.7,mal,mmal
1013,StamC_Mod.8,mmal,mal
1014,StamC_Mod.9,mal,mal
1016,StamD_Mod.11,mal,mal
1017,StamD_Mod.12,mal,NA
1018,StamD_Mod.13,NA,mmal
1019,StamE_Mod.14,mmal,mal
1020,StamF_Mod.15,mal,mal
1021,StamF_Mod.16,mal,mal
1022,StamG_Mod.17,mal,mal
1023,StamG_Mod.18,mal,mal
1024,StamH_Mod.19,mal,mal
1025,StamH_Mod.20,mal,mal
1026,StamI_Mod.21,mal,mal
1027,StamI_Mod.22,mal,mal
1028,StamI_Mod.23,mal,mmal
1029,StamI_Mod.24,mmal,mal
1035,stzB_Mod.1,mal,mal
1033,stzC_Mod.1,mal,mal
1034,stzC_Mod.2,mal,mal
1030,stzD_Mod.1,NA,mal
1031,stzD_Mod.2,mal,mal
1032,stzD_Mod.3,mal,mal
1206,tacB_Mod.1,NA,NA
1207,tacB_Mod.2,NA,NA
1208,tacB_Mod.3,NA,NA
1209,tacB_Mod.4,NA,NA
1102,TamAI_Mod.0,NA,mal
1103,TamAI_Mod.1,mal,mmal
1104,TamAI_Mod.2,mmal,mal
1105,TamAI_Mod.3,mal,mmal
1106,TamAII_Mod.1,mmal,mmal
1107,TamAII_Mod.2,mmal,mmal
1108,TamAIII_Mod.1,mmal,mal
1109,TamAIII_Mod.2,mal,mal
1093,tiaA1_Mod.0,NA,NA
1094,tiaA1_Mod.1,NA,mal
1095,tiaA1_Mod.2,mal,mmal
1096,tiaA1_Mod.3,mmal,mmal
1097,tiaA2_Mod.1,mmal,NA
1098,tiaA2_Mod.2,NA,mmal
1099,tiaA3_Mod.1,mmal,mal
1100,tiaA4_Mod.1,mal,mal
1101,tiaA4_Mod.2,mal,mmal
1080,tmnA1_Mod.1,NA,mal
1081,tmnA1_Mod.2,mal,mal
1082,tmnA1_Mod.3,mal,mal
1083,tmnAII_Mod.1,mal,mal
1084,tmnAIII_Mod.1,mal,mal
1085,tmnAIII_Mod.2,mal,mal
1086,tmnAIV_Mod.1,mal,mmal
1087,tmnAIV_Mod.2,mmal,mmal
1088,tmnAIV_Mod.3,mmal,mal
1089,tmnAV_Mod.1,mal,mal
1090,tmnAV_Mod.2,mal,mmal
1091,tmnAV_Mod.3,mmal,mmal
1092,tmnVI_Mod.1,mmal,mal
1067,tsnAI_Mod.1,NA,mal
1068,tsnAI_Mod.2,mal,mal
1069,tsnAI_Mod.3,mal,mmal
1070,tsnAII_Mod.1,mmal,mmal
1071,tsnAII_Mod.2,mmal,mal
1072,tsnAII_Mod.3,mal,mal
1073,tsnAIII_Mod.1,mal,mmal
1074,tsnAIII_Mod.2,mmal,mmal
1075,tsnAIII_Mod.3,mmal,mal
1076,tsnAIV_Mod.1,mal,mal
1077,tsnAIV_Mod.2,mal,mmal
1078,tsnAIV_Mod.3,mmal,mmal
1079,tsnAV_Mod.1,mmal,mal
1064,ttmH_Mod.1,mmal,mal
1065,ttmH_Mod.2,mal,mmal
1066,ttmH_Mod.3,mmal,mal
1061,ttmI_Mod.1,mmal,mal
1062,ttmI_Mod.2,mal,mal
1063,ttmI_Mod.3,mal,mmal
1054,ttmJ_Mod.0,NA,NA
1055,ttmJ_Mod.1,NA,NA
1056,ttmJ_Mod.2,NA,mal
1057,ttmJ_Mod.3,mal,mmal
1058,ttmJ_Mod.4,mmal,mal
1059,ttmJ_Mod.5,mal,mmal
1060,ttmJ_Mod.6,mmal,mmal
1044,ttnA_Mod.1,NA,mal
1045,ttnA_Mod.2,mal,mmal
1046,ttnA_Mod.3,mmal,mal
1047,ttnA_Mod.4,mal,mmal
1048,ttnA_Mod.5,mmal,mal
1049,ttnA_Mod.6,mal,mmal
1050,ttnB_Mod.1,mmal,mmal
1051,ttnB_Mod.2,mmal,mal
1052,ttnB_Mod.3,mal,NA
1053,ttnB_Mod.4,NA,mal
1110,tylG_Mod.1,NA,mmal
1111,tylG_Mod.2,mmal,mmal
1112,tylG_Mod.3,mmal,mmal
1155,type_Mod.02,NA,mmal
1113,vstA1_Mod.1,NA,mal
1114,vstA1_Mod.2,mal,mmal
1115,vstA1_Mod.3,mmal,mmal
1116,vstA1_Mod.4,mmal,mal
1117,vstA1_Mod.5,mal,mmal
1118,vstA2_Mod.1,mmal,mmal
1119,vstA2_Mod.2,mmal,mmal
1120,vstA2_Mod.3,mmal,NA
1121,vstA2_Mod.4,NA,mmal
1122,vstA3_Mod.1,mmal,mal
1123,vstA3_Mod.2,mal,mal
1124,vstA4_Mod.1,mal,mmal
1125,vstA4_Mod.2,mmal,NA
1126,vstA5_Mod.1,NA,mmal
372,zinA_Mod.1,NA,mmal
373,zinA_Mod.2,mmal,mmal
374,zinB_Mod.1,mmal,mmal
375,zinB_Mod.2,mmal,mmal
376,zinB_Mod.3,mmal,mal
377,zinC_Mod.1,mal,mal
378,zinD_Mod.1,mal,mmal
379,zinD_Mod.2,mmal,mmal
380,zinE_Mod.1,mmal,mmal
381,zinF_Mod.1,mmal,mmal
382,zinF_Mod.2,mmal,mal
383,zinG_Mod.1,mal,mmal
